"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","121.8","1,593.8","12.4","4.1","23.9","0.1","0.6","357.3"
"Justin Jefferson","MIN","103.2","1,506.8","9.6","3.1","16.0","0.0","0.6","311.9"
"Ja'Marr Chase","CIN","91.7","1,417.5","10.5","8.5","49.9","0.2","0.6","301.1"
"Davante Adams","LV","106.4","1,322.2","9.2","0.0","0.0","0.0","0.5","293.1"
"Stefon Diggs","BUF","102.1","1,257.0","8.9","0.2","2.0","0.0","0.5","280.2"
"Deebo Samuel","SF","70.7","1,052.8","6.1","66.2","376.2","4.7","0.7","277.1"
"CeeDee Lamb","DAL","91.2","1,238.6","7.7","6.0","45.0","0.1","0.5","265.1"
"Tyreek Hill","MIA","92.0","1,148.9","8.0","8.8","62.1","0.3","0.5","262.1"
"Mike Evans","TB","82.2","1,132.2","10.1","0.2","1.4","0.0","0.5","255.1"
"Tee Higgins","CIN","85.3","1,195.2","7.8","0.2","0.8","0.0","0.5","250.9"
"Keenan Allen","LAC","99.6","1,086.5","6.9","0.4","1.8","0.0","0.5","248.6"
"Michael Pittman Jr.","IND","91.1","1,126.8","6.6","3.7","29.1","0.0","0.6","245.7"
"Diontae Johnson","PIT","95.9","1,058.0","6.1","4.2","31.7","0.1","1.0","240.0"
"Brandin Cooks","HOU","92.2","1,101.1","6.1","2.6","18.5","0.1","0.5","240.0"
"A.J. Brown","PHI","77.5","1,132.8","8.1","0.8","7.6","0.0","0.5","239.3"
"DJ Moore","CAR","87.0","1,146.7","5.6","5.6","37.7","0.1","0.6","238.4"
"Mike Williams","LAC","74.6","1,098.1","7.9","0.0","0.2","0.0","0.4","231.3"
"Jaylen Waddle","MIA","89.4","999.0","6.1","3.3","19.1","0.3","0.6","228.9"
"Amon-Ra St. Brown","DET","87.6","951.3","6.0","6.6","46.6","0.4","0.5","224.6"
"DK Metcalf","SEA","78.5","1,057.4","6.8","0.4","2.2","0.0","0.6","224.3"
