"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","3 out of 5 stars","+1"
"2",1,"Jonathan Taylor",IND,"RB2","14","3 out of 5 stars","-1"
"3",1,"Austin Ekeler",LAC,"RB3","8","2 out of 5 stars","0"
"4",1,"Dalvin Cook",MIN,"RB4","7","4 out of 5 stars","+4"
"5",2,"Najee Harris",PIT,"RB5","9","3 out of 5 stars","+2"
"6",2,"Justin Jefferson",MIN,"WR1","7","2 out of 5 stars","0"
"7",2,"Cooper Kupp",LAR,"WR2","7","2 out of 5 stars","-3"
"8",2,"Derrick Henry",TEN,"RB6","6","4 out of 5 stars","-3"
"9",2,"Travis Kelce",KC,"TE1","8","3 out of 5 stars","+4"
"10",2,"D'Andre Swift",DET,"RB7","6","4 out of 5 stars","+4"
"11",2,"Joe Mixon",CIN,"RB8","10","3 out of 5 stars","-1"
"12",2,"Ja'Marr Chase",CIN,"WR3","10","3 out of 5 stars","-3"
"13",3,"Stefon Diggs",BUF,"WR4","7","4 out of 5 stars","-1"
"14",3,"Davante Adams",LV,"WR5","6","2 out of 5 stars","-3"
"15",3,"Aaron Jones",GB,"RB9","14","3 out of 5 stars","+4"
"16",3,"CeeDee Lamb",DAL,"WR6","9","3 out of 5 stars","+1"
"17",3,"Saquon Barkley",NYG,"RB10","9","3 out of 5 stars","+7"
"18",3,"Leonard Fournette",TB,"RB11","11","2 out of 5 stars","+7"
"19",3,"Mark Andrews",BAL,"TE2","10","2 out of 5 stars","+4"
"20",3,"Alvin Kamara",NO,"RB12","14","3 out of 5 stars","-2"
"21",4,"Mike Evans",TB,"WR7","11","4 out of 5 stars","+5"
"22",4,"Keenan Allen",LAC,"WR8","8","3 out of 5 stars","+5"
"23",4,"Tyreek Hill",MIA,"WR9","11","2 out of 5 stars","-3"
"24",4,"Deebo Samuel",SF,"WR10","9","3 out of 5 stars","-9"
"25",4,"Javonte Williams",DEN,"RB13","9","3 out of 5 stars","-4"
"26",4,"Nick Chubb",CLE,"RB14","9","3 out of 5 stars","-10"
"27",4,"Michael Pittman Jr.",IND,"WR11","14","4 out of 5 stars","+10"
"28",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+3"
"29",4,"A.J. Brown",PHI,"WR13","7","4 out of 5 stars","-1"
"30",4,"DJ Moore",CAR,"WR14","13","3 out of 5 stars","+14"
"31",4,"James Conner",ARI,"RB15","13","2 out of 5 stars","-1"
"32",4,"Ezekiel Elliott",DAL,"RB16","9","4 out of 5 stars","-3"
"33",4,"Diontae Johnson",PIT,"WR15","9","4 out of 5 stars","+8"
"34",4,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","-12"
"35",4,"Kyle Pitts",ATL,"TE3","14","2 out of 5 stars","-1"
"36",5,"David Montgomery",CHI,"RB17","14","5 out of 5 stars","-4"
"37",5,"Jaylen Waddle",MIA,"WR16","11","2 out of 5 stars","+3"
"38",5,"Travis Etienne Jr.",JAC,"RB18","11","3 out of 5 stars","+9"
"39",5,"Breece Hall",NYJ,"RB19","10","4 out of 5 stars","+12"
"40",5,"Cam Akers",LAR,"RB20","7","2 out of 5 stars","-5"
"41",5,"Terry McLaurin",WAS,"WR17","14","4 out of 5 stars","+1"
"42",5,"Brandin Cooks",HOU,"WR18","6","3 out of 5 stars","+11"
